bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"(1.64,4.03]",1465,1.38183401081036,3.28835372299426,seller_N_total_value_high,log_price_1_sale
"(0.415,0.798]",1468,1.15617727247353,3.2543570387139,seller_N_total_value_high,log_price_1_sale
"(0.798,1.64]",1461,1.57091736257518,3.26849310490552,seller_N_total_value_high,log_price_1_sale
"[0.14,0.262]",1498,-0.616188287695996,3.30510200507155,seller_N_total_value_high,log_price_1_sale
"(0.262,0.415]",1431,0.431712925902404,3.32290749608979,seller_N_total_value_high,log_price_1_sale
"(6.4,7.57]",1465,1.07610951074642,3.31298841817244,seller_N_total_value_high,log_buyern_total_value
"(5.38,6.4]",1464,1.01764797634467,3.35086630043015,seller_N_total_value_high,log_buyern_total_value
"[4.09,5.38]",1465,1.55026446544747,3.27439869334041,seller_N_total_value_high,log_buyern_total_value
"(7.57,8.64]",1466,0.735746409078453,3.13062968806651,seller_N_total_value_high,log_buyern_total_value
"(8.64,10.2]",1463,-0.481601010015897,3.49817187020508,seller_N_total_value_high,log_buyern_total_value
"(0.131,0.626]",1448,1.20861925083323,3.03929811329513,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(1.55,3.24]",1465,-2.04670002533802,3.45612860597751,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"[0,0.00667]",1465,2.01487710211439,2.94648642946113,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(0.626,1.55]",1464,1.21857072454412,2.88404402082658,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(0.00667,0.131]",1481,1.50172102439697,2.94794254786024,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(0.0239,0.175]",1464,0.945683477719471,3.43954856350679,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(1.39,2.56]",1465,1.11136814320632,3.2056518076225,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"[0,0.0239]",1465,0.909009157348588,3.50243304494952,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.693,1.39]",1464,0.568578360003891,3.36246661149219,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.175,0.693]",1465,0.365026890654238,3.35284401652748,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(8.97,10.3]",1457,-0.816830399460824,3.08499900097903,seller_N_total_value_high,log_buyern_1_total_value
"(7.96,8.97]",1471,-0.340747014888267,3.09233073690389,seller_N_total_value_high,log_buyern_1_total_value
"(7.04,7.96]",1466,0.192184326072957,3.19882497411914,seller_N_total_value_high,log_buyern_1_total_value
"(6,7.04]",1464,2.02426954471216,2.98244466354101,seller_N_total_value_high,log_buyern_1_total_value
"[4.6,6]",1465,2.83794156039721,3.02480091253095,seller_N_total_value_high,log_buyern_1_total_value
"(0.418,1.17]",1462,0.353007803864711,3.29825483344513,seller_N_total_value_high,log_buyern_1_rolling_avg_value_last10
"(1.17,2.5]",1465,0.702854733824163,3.24257915705673,seller_N_total_value_high,log_buyern_1_rolling_avg_value_last10
