model,treatment,display_label,subgroup,metric,ATE_pct,CI95_lo_pct,CI95_hi_pct,GATES_lift,GATES_bot_mean,GATES_top_mean,cutoff_raw,split_rule,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
PDS,seller_N_total_value_high,Seller N High — Total Value,Seller N High,Total Value,12.8638212489641,8.62588711593748,17.2670942914598,11.8303990995943,-5.47878243872927,6.35161666086505,1906.9973705057,median,5.74942160267408e-10,1.72482648080222e-09,93.2628629648497,253,28,8,0.0256420399877509,0.101409026000112,1.48837226428226,***
PDS,seller_N_gaspaid_high,Seller N High — Gas Paid,Seller N High,Gas Paid,-5.20703911617176,-8.86803257756446,-1.39897461589507,19.3927015224172,-14.7202343540288,4.67246716838835,5.61599541689834,median,0.00778993122914947,0.0103865749721993,93.5303107488538,253,19,7,0.0252172637463416,0.0825825690807744,1.21518987990691,***
PDS,seller_N_gaslimit_cost_high,Seller N High — Gas Limit Cost,Seller N High,Gas Limit Cost,-5.51619623243658,-8.88342782755056,-2.0245279037537,14.3464191756152,3.33343244277814,17.6798516183933,0.00956156336104991,median,0.00217934199097669,0.00326901298646504,96.3830871115639,253,46,7,0.0341554140955712,0.146898845150078,1.31746020641184,***
PDS,seller_N_1_total_value_high,Seller N-1 High — Total Value,Seller N-1 High,Total Value,-11.2566776855722,-14.2103680471726,-8.20129337152543,31.5579632321828,-43.8136450480256,-12.2556818158428,1642.14456853104,median,4.68848809006064e-12,2.81309285403638e-11,93.2246561385634,253,18,4,0.0252884984989382,0.0889141584473842,1.33790560890562,***
PDS,seller_N_1_gaspaid_high,Seller N-1 High — Gas Paid,Seller N-1 High,Gas Paid,15.3747492273923,11.3722380210961,19.5211032462347,75.4300014119972,19.77198195118,95.2019833631772,10.8480716092354,median,2.038552744527e-15,2.4462632934324e-14,95.236882322975,253,31,4,0.025616879858012,0.112018205366906,1.25401518713378,***
PDS,seller_N_1_gaslimit_cost_high,Seller N-1 High — Gas Limit Cost,Seller N-1 High,Gas Limit Cost,-1.41110953870374,-4.74144494286631,2.03565775861077,12.1530495510477,-3.5997177222455,8.55333182880216,0.0118090180096206,median,0.417612622315357,0.455577406162208,95.0076413652573,253,20,4,0.0262853155870467,0.0815046478473329,1.53274379379848,""
PDS,buyer_N_total_value_high,Buyer N High — Total Value,Buyer N High,Total Value,11.0566741295929,7.48442564377694,14.747646413466,19.440839832092,3.07785491998817,22.5186947520801,1229.58184288379,median,3.24245184969044e-10,1.29698073987617e-09,98.1151299032094,253,31,3,0.0268430886517885,0.110206766203359,1.54611420656805,***
PDS,buyer_N_gaspaid_high,Buyer N High — Gas Paid,Buyer N High,Gas Paid,-9.31776281205314,-12.104349639504,-6.44283183884452,12.4846448128211,-18.9925157325417,-6.50787091972061,3.46729081424735,median,8.14484368698729e-10,1.95476248487695e-09,99.9108507386653,253,21,5,0.0263297018847583,0.0905198909866704,1.40603881426345,***
PDS,buyer_N_gaslimit_cost_high,Buyer N High — Gas Limit Cost,Buyer N High,Gas Limit Cost,-2.13069022838865,-4.90216015127538,0.721549620983097,32.0760714143785,12.5078542999668,44.5839257143453,0.00888618319718131,median,0.141715096115964,0.170058115339157,100,253,58,12,0.0367391108169671,0.158175700217132,0.709324286594706,""
PDS,buyer_N_1_total_value_high,Buyer N-1 High — Total Value,Buyer N-1 High,Total Value,-9.65374460524473,-12.8099602626671,-6.38327624985174,30.5617159586899,-45.9776429526381,-15.4159269939482,2081.83465951533,median,2.19853568560796e-08,4.39707137121592e-08,99.3759551706572,253,42,10,0.0321987680415196,0.14243348499827,1.4626040969348,***
PDS,buyer_N_1_gaspaid_high,Buyer N-1 High — Gas Paid,Buyer N-1 High,Gas Paid,8.67530362503064,4.64900287823373,12.8565136137486,50.7304862546373,15.3262770280902,66.0567632827275,7.94019297491906,median,1.56656878801224e-05,2.68554649373527e-05,97.1472236372899,253,21,7,0.0262743663010491,0.096914354699302,1.16835107983159,***
PDS,buyer_N_1_gaslimit_cost_high,Buyer N-1 High — Gas Limit Cost,Buyer N-1 High,Gas Limit Cost,1.00447516782565,-2.54601915496863,4.68432295393551,22.6928621760866,3.13584598214636,25.8287081582329,0.00953193423098029,median,0.58409111051091,0.58409111051091,98.96841569027,253,68,11,0.0264647913556706,0.185561730408455,0.768039843166632,""
