treatment,split_rule,cutoff_log,cutoff_raw,share_high0
seller_N_total_value_high,median,7.55380947386562,1906.9973705057,0.5
seller_N_1_total_value_high,median,7.40436710475125,1642.14456853104,0.5
buyer_N_total_value_high,median,7.11524237951185,1229.58184288379,0.5
buyer_N_1_total_value_high,median,7.6414850619777,2081.83465951533,0.501018848700968
buyer_N_gaspaid_high,median,1.49678214305979,3.46729081424735,0.5
buyer_N_1_gaspaid_high,median,2.19055717451387,7.94019297491906,0.5
seller_N_gaspaid_high,median,1.88949026499115,5.61599541689834,0.500127356087621
seller_N_1_gaspaid_high,median,2.47216512094076,10.8480716092354,0.500127356087621
buyer_N_gaslimit_cost_high,median,0.00884693342037225,0.00888618319718131,0.5
buyer_N_1_gaslimit_cost_high,median,0.00948679198114823,0.00953193423098029,0.5
seller_N_gaslimit_cost_high,median,0.00951614092423292,0.00956156336104991,0.5
seller_N_1_gaslimit_cost_high,median,0.0117398356741102,0.0118090180096206,0.5
