"treatment","covariate","n0","n1","mean0","mean1","difference","SMD_kept","abs_smd","coef_pct","p_value","q_value_bh","n_obs","method","r2_tau","r2_tau_oos"
"seller_N_1_gaslimit_cost_high","`Mouth_recoded_Bored Cigar`",7371,89,2.31427559714625,2.21502697738358,-0.0992486197626725,0.0582414584098209,0.0582414584098209,49.5456883754479,0.0124088314914188,0.343371155755276,7460,"grf_blp_single",0.682010406815676,0.700433257574669
"seller_N_1_gaslimit_cost_high","Background_recoded_Orange",6504,956,2.24665067266703,2.76511177042444,0.518461097757403,0.0114437405951289,0.0114437405951289,14.1811252857953,0.0180901835252413,0.381401369323837,7460,"grf_blp_single",0.682010406815676,0.700433257574669
"seller_N_1_gaslimit_cost_high","`Hat_recoded_S&m Hat`",7279,181,2.31076884823611,2.40649934387593,0.0957304956398266,0.0738737150733621,0.0738737150733621,-19.9549797117908,0.0170615430181526,0.381401369323837,7460,"grf_blp_single",0.682010406815676,0.700433257574669
"seller_N_1_gaspaid_high","`Hat_recoded_S&m Hat`",7297,181,51.3309361245104,49.045820474142,-2.28511565036847,0.031333644368717,0.031333644368717,-25.2474102710846,0.000439468115755191,0.0046327263869193,7478,"grf_blp_single",0.828818469753388,0.940892064232097
"seller_N_1_gaspaid_high","`Mouth_recoded_Small Grin`",7282,196,51.3864466215857,47.158316877474,-4.2281297441117,0.0263798953776924,0.0263798953776924,-21.9819645389073,0.00149513997631525,0.0126090138002586,7478,"grf_blp_single",0.828818469753388,0.940892064232097
"seller_N_1_gaspaid_high","`Mouth_recoded_Bored Cigar`",7389,89,51.263447503275,52.2867506143072,1.02330311103225,0.0477831912126766,0.0477831912126766,49.293368702701,0.00517520402345784,0.0370114275098877,7478,"grf_blp_single",0.828818469753388,0.940892064232097
"seller_N_1_total_value_high","`Clothes_recoded_Black Holes T`",7172,148,-27.8534781604462,-27.510365056026,0.343113104420208,-0.0180782640728304,0.0180782640728304,41.3171028396475,0.0143103670226437,0.134093439138106,7320,"grf_blp_single",0.789904710776743,0.899040378297898
"seller_N_1_total_value_high","`Clothes_recoded_Wool Turtleneck`",7144,176,-27.8157534120139,-29.0962330658199,-1.28047965380597,0.0121592024072916,0.0121592024072916,-24.0073419896655,0.0236724828930723,0.173659489096282,7320,"grf_blp_single",0.789904710776743,0.899040378297898
"seller_N_1_total_value_high","`Eyes_recoded_X Eyes`",7142,178,-27.8388818325574,-28.1538502634113,-0.314968430853938,-0.00546538258177416,0.00546538258177416,-24.2785384940464,0.037917414094112,0.229778896348491,7320,"grf_blp_single",0.789904710776743,0.899040378297898
"seller_N_gaslimit_cost_high","Clothes_recoded_No_Clothes",6183,1385,10.4903135901223,12.0593775446868,1.56906395456443,0.0362370546462366,0.0362370546462366,15.8024197027866,0.00147171737814951,0.043422369549996,7568,"grf_blp_single",0.590056758451221,0.601192493161626
"seller_N_gaslimit_cost_high","`Hat_recoded_Girl's Hair Pink`",7489,79,10.7795301690252,10.5815872314882,-0.197942937537047,0.0155075671909717,0.0155075671909717,43.0936923563508,0.00596045795745405,0.115999681787375,7568,"grf_blp_single",0.590056758451221,0.601192493161626
"seller_N_gaslimit_cost_high","`Clothes_recoded_Leather Jacket`",7413,155,10.7816825966591,10.5757015360263,-0.205981060632714,-0.0209216955194459,0.0209216955194459,-19.9240457871587,0.0260709339140182,0.3471550673814,7568,"grf_blp_single",0.590056758451221,0.601192493161626
"seller_N_gaspaid_high","Eyes_recoded_Sunglasses",7112,232,-4.8733364823763,-5.54692750604347,-0.67359102366717,-0.0569437258275713,0.0569437258275713,-24.9809392681338,0.00204813682240061,0.0398598935436426,7344,"grf_blp_single",0.655716204172821,0.68454152792841
"seller_N_gaspaid_high","`Mouth_recoded_Small Grin`",7154,190,-4.90509811061882,-4.49991768786979,0.40518042274903,0.00161219091296901,0.00161219091296901,-16.854216072343,0.033541414242471,0.265148477930864,7344,"grf_blp_single",0.655716204172821,0.68454152792841
"seller_N_gaspaid_high","`Mouth_recoded_Phoneme  ooo`",7159,185,-4.89237067715865,-4.98148414207316,-0.0891134649145098,-0.00769554071834033,0.00769554071834033,-16.6166304169003,0.0370117267438197,0.275410790181952,7344,"grf_blp_single",0.655716204172821,0.68454152792841
"seller_N_total_value_high","`Fur_recoded_Golden Brown`",6727,596,0.899818181250383,-0.573121534770006,-1.47293971602039,-0.0109960670477713,0.0109960670477713,-15.7712006987683,0.00541113518318169,0.117066404846297,7323,"grf_blp_single",0.687531631108703,0.717559547564858
"seller_N_total_value_high","`Mouth_recoded_Bored Cigar`",7236,87,0.782015689637629,0.607252187707119,-0.174763501930509,-0.0119700318247777,0.0119700318247777,-33.3847338777647,0.00601526981423662,0.117066404846297,7323,"grf_blp_single",0.687531631108703,0.717559547564858
"seller_N_total_value_high","`Hat_recoded_Cowboy Hat`",7072,251,0.784190325886955,0.660169266437654,-0.124021059449301,0.0287924534903878,0.0287924534903878,25.5038555799249,0.00807203393437276,0.136148305693087,7323,"grf_blp_single",0.687531631108703,0.717559547564858
