"treatment","covariate","n0","n1","mean0","mean1","difference","SMD_kept","abs_smd","coef_pct","p_value","q_value_bh","n_obs","method","r2_tau","r2_tau_oos"
"buyer_N_1_gaslimit_cost_high","`Clothes_recoded_Black Holes T`",7611,160,13.7422365138225,13.5467504652796,-0.195486048542842,-0.0163237623301751,0.0163237623301751,-30.34273961048,0.00548630228430587,0.092535631861959,7771,"grf_blp_single",0.618911871772493,0.651673512612482
"buyer_N_1_gaslimit_cost_high","`Hat_recoded_Girl's Hair Short`",7647,124,13.7492872028971,13.0551850047868,-0.694102198110256,0.00250171681388551,0.00250171681388551,-30.2943280184256,0.0121566378871714,0.158742012027598,7771,"grf_blp_single",0.618911871772493,0.651673512612482
"buyer_N_1_gaslimit_cost_high","Eyes_recoded_Angry",7433,338,13.7389473226141,13.7220317519443,-0.0169155706697968,-0.0430597915503984,0.0430597915503984,20.0871543582173,0.0125487756543556,0.158742012027598,7771,"grf_blp_single",0.618911871772493,0.651673512612482
"buyer_N_1_gaspaid_high","`Hat_recoded_S&m Hat`",7438,190,41.6754340074173,40.6039190281091,-1.07151497930827,0.0295611012068994,0.0295611012068994,-20.969441974836,0.0207773657607985,0.154608045220059,7628,"grf_blp_single",0.828098104722985,0.875443141537824
"buyer_N_1_gaspaid_high","`Clothes_recoded_Tie Dye`",7522,106,41.6205553391902,43.6491085011507,2.0285531619605,-0.0424540633021123,0.0424540633021123,-24.2565031619819,0.0289363418217952,0.209168413740405,7628,"grf_blp_single",0.828098104722985,0.875443141537824
"buyer_N_1_gaspaid_high","`Clothes_recoded_Sailor Shirt`",7407,221,41.6963365397793,40.0536561645494,-1.64268037522995,-0.038410132412462,0.038410132412462,-14.5310744740233,0.0347831928716637,0.236187573009977,7628,"grf_blp_single",0.828098104722985,0.875443141537824
"buyer_N_1_total_value_high","`Hat_recoded_Ww2 Pilot Helm`",7719,84,-30.7813998466993,-29.6938776543981,1.08752219230125,0.0108151879147022,0.0108151879147022,41.7250548371023,0.00609465763595403,0.0439436912085276,7803,"grf_blp_single",0.781813561731085,0.856424297584895
"buyer_N_1_total_value_high","`Fur_recoded_Dark Brown`",6736,1067,-30.8613850340174,-30.1908355674792,0.670549466538258,0.0205225709056772,0.0205225709056772,14.3524953969242,0.00958762201544566,0.0621966248694295,7803,"grf_blp_single",0.781813561731085,0.856424297584895
"buyer_N_1_total_value_high","`Fur_recoded_Golden Brown`",7169,634,-30.7977895245566,-30.4519842872173,0.345805237339285,-0.0368921036034987,0.0368921036034987,14.6449643498868,0.0150907589753022,0.0848436004611435,7803,"grf_blp_single",0.781813561731085,0.856424297584895
"buyer_N_gaslimit_cost_high","`Hat_recoded_Girl's Hair Short`",7727,125,24.3109923349009,23.5347845439809,-0.776207790920019,-0.0223838149056354,0.0223838149056354,-30.7341035184581,0.00358930619930961,0.0454047234212666,7852,"grf_blp_single",0.790375939346495,0.899018534449509
"buyer_N_gaslimit_cost_high","`Mouth_recoded_Bored Unshaven`",6629,1223,24.0964237160968,25.3946794977688,1.29825578167195,0.00913030571384695,0.00913030571384695,14.2117646566283,0.00761392384977148,0.0837531623474863,7852,"grf_blp_single",0.790375939346495,0.899018534449509
"buyer_N_gaslimit_cost_high","`Clothes_recoded_Sailor Shirt`",7618,234,24.3393294700161,22.9738202444197,-1.36550922559647,-0.00299555121151326,0.00299555121151326,-21.9713644870002,0.00815762198353599,0.0859949317431086,7852,"grf_blp_single",0.790375939346495,0.899018534449509
"buyer_N_gaspaid_high","Hat_recoded_Beanie",7407,438,-12.4371238727384,-12.6633734757492,-0.226249603010801,-0.0195516724993467,0.0195516724993467,17.219241526279,0.0157807145891907,0.183839985305228,7845,"grf_blp_single",0.775082523046761,0.852673021599109
"buyer_N_gaspaid_high","`Clothes_recoded_Tweed Suit`",7739,106,-12.4435079775948,-12.9059044258973,-0.462396448302426,-0.0395440600472984,0.0395440600472984,-29.8011621355243,0.0182233972225003,0.200457369447503,7845,"grf_blp_single",0.775082523046761,0.852673021599109
"buyer_N_gaspaid_high","`Hat_recoded_Cowboy Hat`",7569,276,-12.4550551293726,-12.3044269330795,0.150628196293109,-0.00796082138393857,0.00796082138393857,16.4818297389375,0.0235097704960719,0.221341985137661,7845,"grf_blp_single",0.775082523046761,0.852673021599109
"buyer_N_total_value_high","`Mouth_recoded_Phoneme L`",7518,186,11.1475162868986,10.3016283802023,-0.845887906696211,-0.0312056011925032,0.0312056011925032,-23.5730373896922,0.000984383662468885,0.0177892190431877,7704,"grf_blp_single",0.740042614362453,0.779225134913128
"buyer_N_total_value_high","Background_recoded_Orange",6711,993,11.014880359997,11.8854664931329,0.870586133135824,-0.013892085032712,0.013892085032712,14.81901393148,0.0121900114389079,0.115393682220021,7704,"grf_blp_single",0.740042614362453,0.779225134913128
"buyer_N_total_value_high","Hat_recoded_Other_Hat",7492,212,11.1122638037382,11.651178801954,0.538914998215795,0.0508545883532083,0.0508545883532083,25.4084494700456,0.0123147407902789,0.115393682220021,7704,"grf_blp_single",0.740042614362453,0.779225134913128
