Combo_full,GATES_lift,GATES_bot_mean,GATES_top_mean
seller_N_total_value_high,11.8051389049837,-19.6650975035593,-7.85995859857559
seller_N_1_total_value_high,18.6008957271768,-30.511190629199,-11.9102949020222
buyer_N_total_value_high,17.4642154856254,-1.97775694771723,15.4864585379082
buyer_N_gaspaid_high,19.5964516201886,-34.5962644147402,-14.9998127945516
seller_N_gaspaid_high,28.5858752011583,13.1233302617634,41.7092054629217
seller_N_1_gaspaid_high,41.3114758938866,17.3695534311147,58.6810293250013
buyer_N_gaslimit_cost_high,20.3330827166199,13.4559438043413,33.7890265209611
seller_N_gaslimit_cost_high,9.36164417257974,3.08915352434201,12.4507976969218
seller_N_1_gaslimit_cost_high,9.88781366494717,-1.54593496524946,8.34187869969771
seller_N_Tvalue_Gaslimit_11vs00,9.51688749652677,-23.989209354793,-14.4723218582662
seller_N_Gaslimit_given_TvalueHigh,5.18972827973668,3.93890714135122,9.12863542108789
seller_N_1_Tvalue_Gaslimit_11vs00,15.8776831147016,-32.2583191329672,-16.3806360182656
seller_N_1_Gaslimit_given_TvalueHigh,8.83262636215496,1.4113360312115,10.2439623933665
buyer_N_Tvalue_Gaspaid_11vs00,9.14885919550774,-5.74841047178012,3.40044872372763
buyer_N_Gaspaid_given_TvalueHigh,3.35058694593669,-10.4865803926486,-7.13599344671186
seller_N_Tvalue_Gaspaid_11vs00,7.65873346939813,-1.16771951984009,6.49101394955804
seller_N_Gaspaid_given_TvalueHigh,11.5691243970039,14.5385294070268,26.1076538040308
seller_N_1_Tvalue_Gaspaid_11vs00,6.49077282213551,-4.16509266829303,2.32568015384248
seller_N_1_Gaspaid_given_TvalueHigh,14.4679303776713,12.9922452246391,27.4601756023104
buyer_N_Tvalue_Gaslimit_11vs00,20.7608248549932,22.9656964494264,43.7265213044196
buyer_N_Gaslimit_given_TvalueHigh,21.5859528391556,26.1348312789833,47.7207841181389
all_total_value_11vs00,8.93645526310896,-35.5345263851446,-26.5980711220356
seller_total_value_11vs00,17.7408652568773,-41.8015837305027,-24.0607184736254
combo3_TV_crosslayer_11vs00,13.445672762816,51.2280176504934,64.6736904133093
combo4_GP_crosslayer_11vs00,23.289465970482,91.6601969680516,114.949662938534
