decile,n,mean_pct,lo_pct,hi_pct
1,771,3.07785491998817,3.01051382934328,3.14632002344393
2,770,5.36500659112008,5.33122460225812,5.40039162489242
3,770,6.88407863818346,6.85483656567546,6.91200100547196
4,771,8.26695772523637,8.23792012092794,8.29643626915968
5,770,9.67568492084431,9.64885679071559,9.70564717460135
6,770,11.0708574012968,11.0423671869589,11.0997247762767
7,771,12.6209557888649,12.5852071880521,12.6598228953243
8,770,14.592565706772,14.5448631589618,14.6352509839764
9,770,17.1957148029317,17.1332382982328,17.2526794355973
10,771,22.5186947520801,22.3448439397059,22.7365998213386
