decile,n,mean_pct,lo_pct,hi_pct
1,732,-43.8136450480256,-43.9119909695444,-43.7020495622413
2,732,-40.1846586772848,-40.2411994008202,-40.125899815422
3,732,-37.331787827889,-37.3971644696899,-37.2661563880829
4,732,-33.9951518058948,-34.0780047259037,-33.9233305638262
5,732,-28.6329710651786,-28.7837516532967,-28.4988949009407
6,732,-23.9826370869975,-24.0378640631296,-23.924392833123
7,732,-21.6563779702956,-21.6945780509695,-21.6190943580773
8,732,-19.5894238816632,-19.6360436010374,-19.546545900134
9,732,-17.023073830507,-17.0913298572449,-16.9592365671144
10,732,-12.2556818158428,-12.3724386288696,-12.1225943053487
