condition,nuisance_spec,n_obs,n_months,dw_like,ar1_coef,ar1_p,lb_p_lag1,lb_p_lag2,lb_p_lag3
base,BASE_M2V11,7852,47,1.75128284793303,-0.00807271097068196,0.951589310544527,0.963039193689877,0.949204925827662,0.910648239563786
base,TEMPORAL_AUG_M2V11,7852,47,1.60633447441099,-0.0284331687702796,0.813109868711489,0.850238573902246,0.805951517557939,0.88274522368854
samp,BASE_M2V11,4206,47,2.06200684612105,-0.0417274574334544,0.783503196121086,0.768788238179606,0.859194976229712,0.948112694861577
samp,TEMPORAL_AUG_M2V11,4206,47,2.3262863723547,-0.205715832907532,0.170312432272658,0.145712831049972,0.0167275671415581,0.00102172694835412
diffp,BASE_M2V11,3646,47,1.04480228362421,0.00259443652027308,0.929459938645727,0.988573376937865,0.95714013765162,0.993281499184263
diffp,TEMPORAL_AUG_M2V11,3646,47,1.03724639919709,0.00153596624602025,0.952364867149806,0.999827326267487,0.945188205215253,0.989199036303151
