condition,n_obs,n_lag_available,pct_lag_available,n_months_n,n_months_n1,median_days_since_prev,p75_days_since_prev,p90_days_since_prev
base,7852,6345,80.8074375955171,47,47,25.5695138888889,161.117439236111,497.487546296297
samp,4206,3276,77.8887303851641,47,47,12.0948206018519,66.6531857638889,223.447905092593
diffp,3646,3069,84.174437739989,47,47,71.7603240740741,301.042740162037,743.507309027778
