condition,nuisance_spec,treatment,treatment_var,split_rule,cutoff_raw,share_high,ATE_log,SE_log,ATE_pct,CI95_lo_pct,CI95_hi_pct,p_value,kept_pct,alpha,n_kept,calib_intercept,calib_slope,calib_p_slope,r2_tau,r2_tau_oos
base,BASE_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1906.9973705057,0.5,-0.0011171241742553,0.0397940018941474,-0.111650042333566,-7.60648260706672,7.99115282982379,0.977604185826087,77.4834437086093,0.1,6084,,,,0.717933129668269,0.741590215779295
base,BASE_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1642.14456853104,0.5,-0.350208499996116,0.0273200785358663,-29.5458822429133,-33.2192856140457,-25.6704161587486,1.28805562511603e-37,87.7865511971472,0.1,6893,,,,0.793991172765803,0.898888855766266
base,BASE_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,1229.58184288379,0.5,0.100794232248941,0.0267442458811088,10.6049029125272,4.95647037150389,16.5573166188618,0.00016402151717032,94.3963321446765,0.1,7412,,,,0.729306246448996,0.766431108508449
base,BASE_M2V11,seller_N_gaspaid_high,log_sellern_avg_total_gaspaid,median,5.61599541689834,0.500127356087621,-0.0592105407231492,0.0413527465250171,-5.74916881153943,-13.0869440493116,2.20810996170402,0.152189449685271,69.8675496688742,0.1,5486,,,,0.723575823701363,0.757322248385634
base,BASE_M2V11,seller_N_1_gaspaid_high,log_sellern_1_avg_total_gaspaid,median,10.8480716092354,0.500127356087621,0.403230110447012,0.0310086475058849,49.6651247129666,40.8398384617839,59.0434198163744,1.16418778951358e-38,88.1176770249618,0.1,6919,,,,0.817102408858879,0.93098379024947
base,BASE_M2V11,buyer_N_gaspaid_high,log_buyern_avg_total_gaspaid,median,3.46729081424735,0.5,-0.132141586480784,0.0253875504224328,-12.3783074174615,-16.6316283455269,-7.90798886118165,1.94021851524109e-07,97.2618441161488,0.1,7637,,,,0.773600107137385,0.851336821366173
base,BASE_M2V11,seller_N_gaslimit_cost_high,log_sellern_avg_gasLimit_cost,median,0.00956156336104991,0.5,0.106095330992514,0.0391490512425025,11.1927872641795,2.97985396697742,20.0607251156308,0.00672759431683668,81.9154355578197,0.1,6432,,,,0.610926312359371,0.618336471135921
base,BASE_M2V11,seller_N_1_gaslimit_cost_high,log_sellern_1_avg_gasLimit_cost,median,0.0118090180096206,0.5,0.0203469692986885,0.02773837471651,2.05553799871725,-3.34480635453253,7.75761180936845,0.463234373658808,90.1171676006113,0.1,7076,,,,0.69159751546201,0.714402757119307
base,BASE_M2V11,buyer_N_gaslimit_cost_high,log_buyern_avg_gasLimit_cost,median,0.00888618319718131,0.5,0.217330237278063,0.023927963954806,24.2754438222878,18.5816335261105,30.2426478534377,1.05925664343981e-19,99.095771777891,0.1,7781,,,,0.793778670890099,0.904671082121782
base,BASE_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2081.83465951533,0.501018848700968,-0.412834506327072,0.0372028219785163,-33.8228207189374,-38.4765656494517,-28.8170580230479,1.29928767480665e-28,78.5404992358635,0.1,6167,,,,0.779612743887403,0.850895886744952
base,BASE_M2V11,buyer_N_1_gaspaid_high,log_buyern_1_avg_total_gaspaid,median,7.94019297491906,0.5,0.352423458122157,0.0378970830909003,42.2510769935937,32.0677913057236,53.2195602408045,1.41124002801751e-20,79.4447274579725,0.1,6238,,,,0.838101385510454,0.881739001114465
