condition,treatment,ATE_pct__BASE_M2V11,ATE_pct__TEMPORAL_AUG_M2V11,CI95_lo_pct__BASE_M2V11,CI95_lo_pct__TEMPORAL_AUG_M2V11,CI95_hi_pct__BASE_M2V11,CI95_hi_pct__TEMPORAL_AUG_M2V11,p_value__BASE_M2V11,p_value__TEMPORAL_AUG_M2V11,kept_pct__BASE_M2V11,kept_pct__TEMPORAL_AUG_M2V11,r2_tau__BASE_M2V11,r2_tau__TEMPORAL_AUG_M2V11,calib_slope__BASE_M2V11,calib_slope__TEMPORAL_AUG_M2V11,same_sign,abs_delta_ate,pct_change_vs_base
base,buyer_N_1_gaslimit_cost_high,17.720397745683,12.4938119859335,9.31024329963339,5.31173432725671,26.7776159587808,20.1656948863983,1.60371957374377e-05,0.000469504834510079,81.2913907284768,81.3550687722873,0.612435114640598,0.636737073285161,,,TRUE,5.2265857597495,-29.4947429214606
base,buyer_N_1_gaspaid_high,42.2510769935937,31.7976159494752,32.0677913057236,23.6002209268432,53.2195602408045,40.5386773559792,1.41124002801751e-20,3.54201283841778e-17,79.4447274579725,79.763117677025,0.838101385510454,0.773107257682725,,,TRUE,10.4534610441185,-24.7412889515301
base,buyer_N_1_total_value_high,-33.8228207189374,-29.5652022359991,-38.4765656494517,-33.9585861801185,-28.8170580230479,-24.8795498293496,1.29928767480665e-28,1.46855100369963e-26,78.5404992358635,79.9923586347428,0.779612743887403,0.822018207085857,,,TRUE,4.25761848293831,12.5880053538955
base,buyer_N_gaslimit_cost_high,24.2754438222878,21.5411612097144,18.5816335261105,16.6944240993202,30.2426478534377,26.5892006599469,1.05925664343981e-19,5.66852649380963e-21,99.095771777891,99.3250127356088,0.793778670890099,0.794479552973551,,,TRUE,2.73428261257344,-11.2635741393244
base,buyer_N_gaspaid_high,-12.3783074174615,-7.22539748587802,-16.6316283455269,-11.0685247677625,-7.90798886118165,-3.21619146453487,1.94021851524109e-07,0.000511820227203507,97.2618441161488,97.8476821192053,0.773600107137385,0.695374582051997,,,TRUE,5.15290993158346,41.6285503162937
base,buyer_N_total_value_high,10.6049029125272,3.59767407686182,4.95647037150389,-0.921141643129375,16.5573166188618,8.32258518238613,0.00016402151717032,0.120349943975071,94.3963321446765,94.4854814060112,0.729306246448996,0.704312128181386,,,TRUE,7.00722883566538,-66.0753699818221
base,seller_N_1_gaslimit_cost_high,2.05553799871725,2.53430738946299,-3.34480635453253,-2.28858979157764,7.75761180936845,7.5952559625496,0.463234373658808,0.308607900210014,90.1171676006113,89.2384105960265,0.69159751546201,0.644183433572613,,,TRUE,0.478769390745737,23.2916828122132
base,seller_N_1_gaspaid_high,49.6651247129666,36.5777627564751,40.8398384617839,29.2651604260765,59.0434198163744,44.304043085387,1.16418778951358e-38,1.21320218734733e-28,88.1176770249618,85.6597045338767,0.817102408858879,0.824793760109527,,,TRUE,13.0873619564915,-26.3512113019514
base,seller_N_1_total_value_high,-29.5458822429133,-25.6815310650714,-33.2192856140457,-29.1919967163471,-25.6704161587486,-21.9970262018803,1.28805562511603e-37,2.69930438882215e-33,87.7865511971472,87.9011716760061,0.793991172765803,0.818023833309416,,,TRUE,3.86435117784188,13.0791531153847
base,seller_N_gaslimit_cost_high,11.1927872641795,12.0201633885464,2.97985396697742,4.69794271983692,20.0607251156308,19.8544754520672,0.00672759431683668,0.00099793231304559,81.9154355578197,81.0876209882832,0.610926312359371,0.670156518893512,,,TRUE,0.827376124366896,7.39204726078164
base,seller_N_gaspaid_high,-5.74916881153943,1.50440874660893,-13.0869440493116,-5.37815804104272,2.20810996170402,8.8875970039529,0.152189449685271,0.676807398087991,69.8675496688742,70.0458481915436,0.723575823701363,0.644455364058129,,,FALSE,7.25357755814836,126.167412993499
base,seller_N_total_value_high,-0.111650042333566,-2.49887355169293,-7.60648260706672,-8.89807452369661,7.99115282982379,4.34982146630372,0.977604185826087,0.46499215013039,77.4834437086093,78.09475292919,0.717933129668269,0.704504647853254,,,TRUE,2.38722350935936,-2138.13041129646
diffp,buyer_N_1_gaslimit_cost_high,33.0385540544061,28.4052830627869,21.8107108347882,18.4676694112631,45.3013182797418,39.1765095099176,2.21185711371608e-10,1.17521954834267e-09,91.0861217772902,90.6747120131651,0.688212080845559,0.78180329452779,,,TRUE,4.63327099161921,-14.0238310187225
diffp,buyer_N_1_gaspaid_high,44.7703039328681,33.7262350829191,32.2364660205747,23.2657714806722,58.4921431396548,45.0743846782812,1.16802322657834e-15,2.68346225675803e-12,93.0060340098738,93.0883159626988,0.807769966332346,0.796133698751262,,,TRUE,11.0440688499491,-24.6682909870555
diffp,buyer_N_1_total_value_high,-37.0741249505385,-33.1804463204924,-42.1313202958934,-38.0422435897992,-31.574976809788,-27.9371460068961,2.31068237886682e-27,1.3107336051834e-25,93.8837081733407,93.911135490949,0.832857995657277,0.8527153743634,,,TRUE,3.89367863004608,10.5024154588698
diffp,buyer_N_gaslimit_cost_high,42.2635112569296,38.6828990649279,31.3354534723208,29.0828593997533,54.1008623342967,48.9969046431716,5.40502678982146e-18,4.07068519898654e-19,100,99.9725726823917,0.878746532655488,0.885751195118229,,,TRUE,3.58061219200174,-8.4721124334284
diffp,buyer_N_gaspaid_high,-15.1240129777086,-11.5243451345201,-22.226799189957,-18.0514419631731,-7.37255123903916,-4.47737347181013,0.000235465344308549,0.00173892189786592,95.0630828304992,95.8036204059243,0.73264100736409,0.737383811489826,,,TRUE,3.59966784318848,23.8010100129777
diffp,buyer_N_total_value_high,4.24372860192033,-0.971784130582831,-4.1238133530884,-8.04479323666182,13.3415432223061,6.64526657548332,0.330281894935014,0.796183165210989,98.1897970378497,98.7931980252331,0.723992331014457,0.722961019996876,,,FALSE,5.21551273250316,-122.899299689973
diffp,seller_N_1_gaslimit_cost_high,4.67037976806783,3.34170971209855,-5.21500320891365,-5.59571283481685,15.5867359993606,13.1252540208609,0.367146890450414,0.476305513826817,83.0773450356555,83.2144816236972,0.564362383868041,0.576070812861392,,,TRUE,1.32867005596928,-28.4488654445967
