K,combo,combo_short,stub,rank_k,gates_dec,mean_pct,lo_pct,hi_pct,overall_mean,delta_pct,n,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,1,-12.3373365571586,-12.3623370478528,-12.3154070707581,-10.6076604972258,-1.7296760599328,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,2,-11.8747530717197,-11.8819585303727,-11.8681750192375,-10.6076604972258,-1.2670925744939,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,3,-11.4719612342409,-11.481998818555,-11.4639548706856,-10.6076604972258,-0.864300737015098,638,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,4,-11.1966268614548,-11.2011913093185,-11.1923808331508,-10.6076604972258,-0.588966364228996,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,5,-10.9654812751255,-10.9714404956281,-10.9595456978953,-10.6076604972258,-0.357820777899697,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,6,-10.5884652588798,-10.5974508076125,-10.5795378675429,-10.6076604972258,0.0191952383460023,638,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,7,-10.0590599325544,-10.0714404015254,-10.0442026412579,-10.6076604972258,0.548600564671403,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,8,-9.45925053488474,-9.46702660360432,-9.45153919143401,-10.6076604972258,1.14840996234106,638,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,9,-9.20099929805088,-9.2055671894467,-9.1957845868413,-10.6076604972258,1.40666119917492,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,10,-8.9226709481887,-8.93240935767519,-8.91285015364156,-10.6076604972258,1.6849895490371,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,1,-9.29644949835847,-9.31295641271691,-9.27810020593131,-8.40901583869426,-0.887433659664209,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,2,-8.91423098678263,-8.91783510577312,-8.91042915889328,-8.40901583869426,-0.50521514808837,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,3,-8.78122626537243,-8.7841024991242,-8.77825669349246,-8.40901583869426,-0.372210426678169,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,4,-8.60924174125862,-8.61464815511715,-8.60343293844634,-8.40901583869426,-0.200225902564359,654,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,5,-8.31326013419613,-8.31766155632532,-8.30897675899551,-8.40901583869426,0.0957557044981314,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,6,-8.19221201953899,-8.19432769163013,-8.19021472444451,-8.40901583869426,0.21680381915527,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,7,-8.11658714410268,-8.1180875647898,-8.11512382050934,-8.40901583869426,0.292428694591582,654,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,8,-8.05021100124878,-8.05158717524317,-8.04869354434067,-8.40901583869426,0.358804837445481,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,9,-7.97680757929983,-7.9787682063196,-7.97481377389655,-8.40901583869426,0.432208259394431,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
