K,combo,combo_short,stub,rank_k,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh
1,Mouth_Other,Mouth:Other,Mouth_Other,1,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0
1,Fur_Black,Fur:Black,Fur_Black,2,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05
1,Mouth_Bored,Mouth:Bored,Mouth_Bored,3,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144
2,Clothes_Other+Earring_No,Cl:Other+Ear:No,Clothes_Other_Earring_No,1,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10
2,Clothes_Striped.Tee+Earring_No,Cl:Striped·Tee+Ear:No,Clothes_Striped_Tee_Earring_No,2,-10.7629711647367,-15.7064506720008,-5.52957635750527,99.9567754484547,9250,0.0011958749220716
2,Earring_No+Fur_Black,Ear:No+Fur:Black,Earring_No_Fur_Black,3,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875
2,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,Earring_No_Mouth_Bored,4,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967
2,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,Fur_Black_Mouth_Bored,5,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561
3,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,Background_Aquamarine_Earring_No_Fur_Black,1,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05
3,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,Clothes_No_Earring_No_Mouth_Other,2,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05
3,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,Earring_No_Eyes_Bored_Fur_Golden_Brown,3,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198
3,Earring_No+Fur_Cream+Hat_No,Ear:No+Fur:Cream+Hat:No,Earring_No_Fur_Cream_Hat_No,4,-12.8252849640372,-20.6654949498323,-4.21026844755933,100,9254,0.0260499422575408
3,Earring_No+Eyes_Sad+Mouth_Bored,Ear:No+Eyes:Sad+Mouth:Bored,Earring_No_Eyes_Sad_Mouth_Bored,5,-11.9567652992382,-21.1651724159316,-1.67275791518404,100,9254,0.104068909742065
4,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,Ear:No+Fur:Dark·Brown+Hat:No+Mouth:Bored,Earring_No_Fur_Dark_Brown_Hat_No_Mouth_Bored,1,-19.1855701618125,-25.4229722431378,-12.4264902140675,100,9254,4.4684325249215e-06
4,Clothes_No+Earring_No+Hat_No+Mouth_Bored,Cl:No+Ear:No+Hat:No+Mouth:Bored,Clothes_No_Earring_No_Hat_No_Mouth_Bored,2,53.4269824635902,18.5452182739209,98.5726568362262,100,9254,0.00894130993655035
4,Earring_No+Eyes_Bored+Hat_No+Mouth_Bored,Ear:No+Eyes:Bored+Hat:No+Mouth:Bored,Earring_No_Eyes_Bored_Hat_No_Mouth_Bored,3,-9.03821055941928,-21.9665705000655,6.03208382939882,100,9254,0.551126568836305
4,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,Cl:No+Ear:No+Eyes:Bored+Mouth:Bored,Clothes_No_Earring_No_Eyes_Bored_Mouth_Bored,4,-5.89610669278015,-17.377950953743,7.18134974622489,100,9254,0.691927289898453
4,Background_Gray+Earring_No+Hat_No+Mouth_Bored,BG:Gray+Ear:No+Hat:No+Mouth:Bored,Background_Gray_Earring_No_Hat_No_Mouth_Bored,5,-7.07496734718854,-28.4759175395623,20.7294298155088,100,9254,0.817937465748241
