K,combo,combo_short,stub,rank_k,point,mean_pct,lo_pct,hi_pct,n,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh,lift
1,Mouth_Other,Mouth:Other,Mouth_Other,1,bottom,35.3471187497928,35.311992434068,35.3874305573454,925,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,9.1790774799337
1,Fur_Black,Fur:Black,Fur_Black,2,bottom,-12.2608043195886,-12.2916729417701,-12.2293412311635,926,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,9.54644844133084
1,Mouth_Bored,Mouth:Bored,Mouth_Bored,3,bottom,-8.56497477456953,-8.60652572432057,-8.52787871310208,926,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,6.22289446572835
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,bottom,-12.3373365571586,-12.3623370478528,-12.3154070707581,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,3.4146656089699
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,bottom,-9.29644949835847,-9.31295641271691,-9.27810020593131,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,1.45651748157442
2,Clothes_Other+Earring_No,Cl:Other+Ear:No,Clothes_Other_Earring_No,1,bottom,31.1142892648004,31.1034626609138,31.1256073231667,925,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,3.1132495514228
2,Clothes_Striped.Tee+Earring_No,Cl:Striped·Tee+Ear:No,Clothes_Striped_Tee_Earring_No,2,bottom,-11.7804982439669,-11.7871926132303,-11.7742283864269,925,-10.7629711647367,-15.7064506720008,-5.52957635750527,99.9567754484547,9250,0.0011958749220716,1.702589098601
2,Earring_No+Fur_Black,Ear:No+Fur:Black,Earring_No_Fur_Black,3,bottom,-12.9604649158768,-12.9853239820932,-12.9370076064006,926,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,10.0456844952298
2,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,Earring_No_Mouth_Bored,4,bottom,-9.48364101235971,-9.51179309805352,-9.451248453223,926,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,6.74825952512158
2,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,Fur_Black_Mouth_Bored,5,bottom,-11.0492396710285,-11.055528365347,-11.0440957622175,834,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,0.5831205244831
