K,combo,combo_short,stub,rank_k,point,mean_pct,lo_pct,hi_pct,n,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh,lift
3,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,Background_Aquamarine_Earring_No_Fur_Black,1,bottom,-19.4331169094136,-19.4391808467834,-19.4272964088947,926,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,0.580848955427999
3,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,Clothes_No_Earring_No_Mouth_Other,2,bottom,39.2901503344075,39.2735732030705,39.3058432789421,926,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,1.661634999316
3,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,Earring_No_Eyes_Bored_Fur_Golden_Brown,3,bottom,-11.8059474701364,-11.8131019005275,-11.799927740586,926,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,0.598647579913902
3,Earring_No+Fur_Cream+Hat_No,Ear:No+Fur:Cream+Hat:No,Earring_No_Fur_Cream_Hat_No,4,bottom,-13.2856147912998,-13.2938997498986,-13.278317359322,926,-12.8252849640372,-20.6654949498323,-4.21026844755933,100,9254,0.0260499422575408,0.6818681345035
3,Earring_No+Eyes_Sad+Mouth_Bored,Ear:No+Eyes:Sad+Mouth:Bored,Earring_No_Eyes_Sad_Mouth_Bored,5,bottom,-12.660602630736,-12.668817551485,-12.6526832932127,926,-11.9567652992382,-21.1651724159316,-1.67275791518404,100,9254,0.104068909742065,0.7685641983312
4,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,Ear:No+Fur:Dark·Brown+Hat:No+Mouth:Bored,Earring_No_Fur_Dark_Brown_Hat_No_Mouth_Bored,1,bottom,-19.6291369916372,-19.6346206567702,-19.6240289158074,926,-19.1855701618125,-25.4229722431378,-12.4264902140675,100,9254,4.4684325249215e-06,0.525002932987
4,Clothes_No+Earring_No+Hat_No+Mouth_Bored,Cl:No+Ear:No+Hat:No+Mouth:Bored,Clothes_No_Earring_No_Hat_No_Mouth_Bored,2,bottom,50.4773768431172,50.441174261346,50.505790080413,926,53.4269824635902,18.5452182739209,98.5726568362262,100,9254,0.00894130993655035,3.1061335629632
4,Earring_No+Eyes_Bored+Hat_No+Mouth_Bored,Ear:No+Eyes:Bored+Hat:No+Mouth:Bored,Earring_No_Eyes_Bored_Hat_No_Mouth_Bored,3,bottom,-9.21972599097057,-9.23022016500963,-9.21041638615392,926,-9.03821055941928,-21.9665705000655,6.03208382939882,100,9254,0.551126568836305,1.11106048800914
4,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,Cl:No+Ear:No+Eyes:Bored+Mouth:Bored,Clothes_No_Earring_No_Eyes_Bored_Mouth_Bored,4,bottom,-6.66648504480586,-6.67587560577237,-6.65768467149689,926,-5.89610669278015,-17.377950953743,7.18134974622489,100,9254,0.691927289898453,0.94681005328107
4,Background_Gray+Earring_No+Hat_No+Mouth_Bored,BG:Gray+Ear:No+Hat:No+Mouth:Bored,Background_Gray_Earring_No_Hat_No_Mouth_Bored,5,bottom,-7.65683918320977,-7.68195484983374,-7.63679774217244,926,-7.07496734718854,-28.4759175395623,20.7294298155088,100,9254,0.817937465748241,2.01518852141516
1,Mouth_Other,Mouth:Other,Mouth_Other,1,top,44.5261962297265,44.4723322271828,44.5703910147607,925,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,9.1790774799337
1,Fur_Black,Fur:Black,Fur_Black,2,top,-2.71435587825776,-2.76052492579137,-2.66132868188142,926,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,9.54644844133084
1,Mouth_Bored,Mouth:Bored,Mouth_Bored,3,top,-2.34208030884118,-2.39111022863511,-2.2943024396977,926,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,6.22289446572835
1,Eyes_Sad,Eyes:Sad,Eyes_Sad,4,top,-8.9226709481887,-8.93240935767519,-8.91285015364156,639,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,3.4146656089699
1,Eyes_Wide.Eyed,Eyes:Wide·Eyed,Eyes_Wide_Eyed,5,top,-7.83993201678405,-7.84612712133404,-7.8343872150762,655,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,1.45651748157442
2,Clothes_Other+Earring_No,Cl:Other+Ear:No,Clothes_Other_Earring_No,1,top,34.2275388162232,34.2193324006416,34.2372257218187,925,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,3.1132495514228
2,Clothes_Striped.Tee+Earring_No,Cl:Striped·Tee+Ear:No,Clothes_Striped_Tee_Earring_No,2,top,-10.0779091453659,-10.0818185581782,-10.0739053434643,925,-10.7629711647367,-15.7064506720008,-5.52957635750527,99.9567754484547,9250,0.0011958749220716,1.702589098601
2,Earring_No+Fur_Black,Ear:No+Fur:Black,Earring_No_Fur_Black,3,top,-2.91478042064704,-2.96477737343073,-2.8584272763402,926,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,10.0456844952298
2,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,Earring_No_Mouth_Bored,4,top,-2.73538148723813,-2.78044729692953,-2.68506046313224,926,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,6.74825952512158
2,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,Fur_Black_Mouth_Bored,5,top,-10.4661191465454,-10.4703420282514,-10.4618679200798,833,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,0.5831205244831
3,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,Background_Aquamarine_Earring_No_Fur_Black,1,top,-18.8522679539856,-18.8574397531515,-18.8465228988337,926,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,0.580848955427999
3,Clothes_No+Earring_No+Mouth_Other,Cl:No+Ear:No+Mouth:Other,Clothes_No_Earring_No_Mouth_Other,2,top,40.9517853337235,40.937888305968,40.9652926492284,926,39.824058690152,21.142588206859,61.3864098330377,100,9254,8.19824718917654e-05,1.661634999316
3,Earring_No+Eyes_Bored+Fur_Golden.Brown,Ear:No+Eyes:Bored+Fur:Golden·Brown,Earring_No_Eyes_Bored_Fur_Golden_Brown,3,top,-11.2072998902225,-11.2113281764048,-11.2027235409035,926,-11.4393486961186,-18.4140120204426,-3.86843190116364,100,9254,0.0232522202346198,0.598647579913902
3,Earring_No+Fur_Cream+Hat_No,Ear:No+Fur:Cream+Hat:No,Earring_No_Fur_Cream_Hat_No,4,top,-12.6037466567963,-12.6088110504737,-12.5977649938756,926,-12.8252849640372,-20.6654949498323,-4.21026844755933,100,9254,0.0260499422575408,0.6818681345035
3,Earring_No+Eyes_Sad+Mouth_Bored,Ear:No+Eyes:Sad+Mouth:Bored,Earring_No_Eyes_Sad_Mouth_Bored,5,top,-11.8920384324048,-11.8978356287862,-11.8860698265966,926,-11.9567652992382,-21.1651724159316,-1.67275791518404,100,9254,0.104068909742065,0.7685641983312
4,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,Ear:No+Fur:Dark·Brown+Hat:No+Mouth:Bored,Earring_No_Fur_Dark_Brown_Hat_No_Mouth_Bored,1,top,-19.1041340586502,-19.1085637440193,-19.0989246579929,926,-19.1855701618125,-25.4229722431378,-12.4264902140675,100,9254,4.4684325249215e-06,0.525002932987
4,Clothes_No+Earring_No+Hat_No+Mouth_Bored,Cl:No+Ear:No+Hat:No+Mouth:Bored,Clothes_No_Earring_No_Hat_No_Mouth_Bored,2,top,53.5835104060804,53.5544263421029,53.6154206690537,926,53.4269824635902,18.5452182739209,98.5726568362262,100,9254,0.00894130993655035,3.1061335629632
4,Earring_No+Eyes_Bored+Hat_No+Mouth_Bored,Ear:No+Eyes:Bored+Hat:No+Mouth:Bored,Earring_No_Eyes_Bored_Hat_No_Mouth_Bored,3,top,-8.10866550296143,-8.11871052972365,-8.097751707556,926,-9.03821055941928,-21.9665705000655,6.03208382939882,100,9254,0.551126568836305,1.11106048800914
4,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,Cl:No+Ear:No+Eyes:Bored+Mouth:Bored,Clothes_No_Earring_No_Eyes_Bored_Mouth_Bored,4,top,-5.71967499152479,-5.72812904150551,-5.70992835223369,926,-5.89610669278015,-17.377950953743,7.18134974622489,100,9254,0.691927289898453,0.94681005328107
4,Background_Gray+Earring_No+Hat_No+Mouth_Bored,BG:Gray+Ear:No+Hat:No+Mouth:Bored,Background_Gray_Earring_No_Hat_No_Mouth_Bored,5,top,-5.64165066179461,-5.66180487495027,-5.61959117856887,926,-7.07496734718854,-28.4759175395623,20.7294298155088,100,9254,0.817937465748241,2.01518852141516
